# time in s, flow in mm^3/s
0,8370.56511056511
0.012727272727273,8370.97788697789
0.02,8500.94348894349
0.03,8760.72727272728
0.040909090909091,9150.27027027028
0.049090909090909,9637.02211302212
0.055454545454546,10123.714987715
0.060909090909091,10610.3783783784
0.068181818181818,11161.9656019656
0.073636363636364,11713.4938574939
0.076363636363637,12037.9066339066
0.08,12459.6461916462
0.084545454545455,13011.144963145
0.088181818181818,13497.7493857494
0.093636363636364,14179.0073710074
0.099090909090909,14795.4004914005
0.103636363636364,15541.4938574939
0.109090909090909,16060.5896805897
0.113636363636364,16482.3587223587
0.117272727272727,16904.0982800983
0.122727272727273,17423.1941031941
0.128181818181818,17877.4250614251
0.131818181818182,18234.2997542998
0.136363636363637,18591.2039312039
0.143636363636364,18948.1965601966
0.15,19272.7272727273
0.157272727272727,19467.5577395577
0.166363636363636,19597.5823095823
0.181818181818182,19630.515970516
0.197272727272727,19436.4226044226
0.206363636363636,19209.6904176904
0.213636363636364,19015.3316953317
0.22,18788.5110565111
0.225454545454545,18561.6609336609
0.231818181818182,18302.4078624079
0.238181818181818,18075.5872235872
0.250909090909091,17427.3513513514
0.258181818181818,17395.1547911548
0.267272727272727,17395.4496314496
0.276363636363637,17395.7444717445
0.284545454545455,17396.0098280098
0.290909090909091,17298.9189189189
0.297272727272727,17169.3955773956
0.305454545454546,17039.9312039312
0.313636363636364,16910.4668304668
0.320909090909091,16748.5405405405
0.329090909090909,16554.2113022113
0.335454545454546,16392.2555282555
0.343636363636364,16230.3587223587
0.350909090909091,16068.4324324324
0.355454545454546,15971.2825552826
0.363636363636364,15776.9533169533
0.368181818181818,15614.9385749386
0.382727272727273,15161.3562653563
0.392727272727273,14837.3562653563
0.401818181818182,14448.4619164619
0.408181818181818,14254.0737100737
0.416363636363637,14027.312039312
0.426363636363636,13865.4742014742
0.433636363636364,13800.8452088452
0.442727272727273,13736.2751842752
0.455454545454546,13704.2555282555
0.48,13705.0515970516
0.490909090909091,13705.4054054054
0.5,13640.8353808354
0.510909090909091,13576.3243243243
0.521818181818182,13511.8132678133
0.532727272727273,13414.8697788698
0.540909090909091,13285.4054054054
0.549090909090909,13155.941031941
0.56,13058.9975429975
0.573636363636364,12929.7100737101
0.585454545454546,12767.9312039312
0.595454545454546,12638.5257985258
0.605454545454546,12476.687960688
0.623636363636364,12120.5208845209
0.634545454545455,11958.7125307125
0.646363636363637,11764.5012285012
0.660909090909091,11570.3783783784
0.677272727272727,11343.8820638821
0.697272727272727,11085.0712530713
0.720909090909091,10826.3783783784
0.738181818181818,10567.4791154791
0.752727272727273,10373.3562653563
0.764545454545455,10244.0098280098
0.778181818181818,10114.7223587224
0.793636363636364,9985.49385749386
0.806363636363637,9856.17690417691
0.818181818181818,9759.2628992629
0.831818181818182,9727.27272727273
0.844545454545455,9630.38820638821
0.864545454545455,9598.60442260443
0.885454545454546,9469.55282555283
0.9,9340.29484029484
0.916363636363636,9211.09582309583
0.93,9049.37592137593
0.940909090909091,8920
0.952727272727273,8790.65356265357
0.961818181818182,8693.65110565111
0.974545454545455,8564.33415233416
0.986363636363637,8467.42014742015
